Spotify Ranking ,Artists,Tempo,Genre,Name,Valence,Danceability,Acousticness,Liveness,Energy,Key,Mode,Duration_ms,Speechiness
1,Drake,77.169,Hip Hop/ R&B,God's Plan,0.36,0.75,0.13,0.55,0.45,7,1,198973,4.32%
2,XXXTENTACION,75.023,Hip Hop/ R&B,SAD!,0.47,0.74,0.04,0.12,0.61,8,1,166606,4.37%
3,Post Malone,159.847,Hip Hop/ R&B,rockstar (feat. 21 Savage),0.14,0.59,0.01,0.13,0.54,5,0,218147,4.38%
4,Post Malone,140.124,Hip Hop/ R&B,Psycho (feat. Ty Dolla $ign),0.44,0.74,0.1,0.11,0.56,8,1,221440,4.49%
5,Drake,91.03,Hip Hop/ R&B,In My Feelings,0.35,0.84,0.17,0.4,0.63,1,1,217925,4.49%
6,Post Malone,145.028,Hip Hop/ R&B,Better Now,0.37,0.68,0.37,0.14,0.56,10,1,231267,4.50%
7,Cardi B,136.048,Hip Hop/ R&B,I Like It,0.65,0.82,0.35,0.37,0.73,5,0,253390,4.54%
8,Calvin Harris,123.994,Pop,One Kiss (with Dua Lipa),0.59,0.79,0.05,0.08,0.86,9,0,214847,9.72%
9,Dua Lipa,97.028,Pop,IDGAF,0.51,0.84,0.02,0.08,0.54,7,1,217947,9.96%
10,Marshmello,95.079,Pop,FRIENDS,0.53,0.63,0.03,0.13,0.88,9,0,202621,10.90%
11,Camila Cabello,104.988,Pop,Havana,0.39,0.77,0.04,0.13,0.52,2,1,217307,11.00%
12,Juice WRLD,83.903,Hip Hop/ R&B,Lucid Dreams,0.22,0.51,0.19,0.34,0.57,6,0,239836,4.74%
13,Drake,93.394,Hip Hop/ R&B,Nice For What,0.76,0.59,0.09,0.12,0.91,8,1,210747,4.86%
14,Maroon 5,124.959,Pop,Girls Like You (feat. Cardi B),0.45,0.85,0.58,0.13,0.54,0,1,235545,11.70%
15,Zedd,107.01,Pop,The Middle,0.44,0.75,0.02,0.11,0.66,7,1,184732,12.00%
16,Kendrick Lamar,96.924,Hip Hop/ R&B,All The Stars (with SZA),0.55,0.7,0.21,0.09,0.63,8,1,232187,5.04%
17,Ariana Grande,121.993,Pop,no tears left to cry,0.35,0.7,0.06,0.29,0.71,9,0,205920,12.50%
18,Nicky Jam,180.073,Latin,X,0.71,0.6,0.58,0.33,0.77,9,0,173628,8.02%
19,XXXTENTACION,128.009,Hip Hop/ R&B,Moonlight,0.71,0.92,0.57,0.1,0.54,9,0,135090,5.05%
20,BlocBoy JB,140.022,Hip Hop/ R&B,Look Alive (feat. Drake),0.6,0.92,0.18,0.11,0.58,10,1,181263,5.06%
21,Rudimental,92.213,Pop,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.55,0.65,0.1,0.17,0.81,0,1,210773,12.90%
22,Nio Garcia,96.507,Latin,Te Bote - Remix,0.44,0.9,0.56,0.06,0.68,11,0,417920,8.04%
23,Bazzi,142.929,Pop,Mine,0.72,0.71,0.26,0.45,0.79,4,1,131064,14.50%
24,5 Seconds of Summer,120.274,Pop,Youngblood,0.15,0.6,0.18,0.12,0.85,7,0,203418,14.90%
25,Dua Lipa,116.073,Pop,New Rules,0.61,0.76,0.16,0.15,0.7,9,0,209320,19.60%
